
###2017-08-16 00:04:18.059562
code   SU%  SD%  LU% LD%  NAME
020150  49   50   48   51   일진머티리얼즈
003520  52   47   48   51   영진약품
005490  51   48   49   50   POSCO
013870  47   52   47   52   지엠비코리아
251270  51   48   48   51   넷마블게임즈

###2017-08-22 00:00:05.312446
code   SU%  SD%  LU% LD%  NAME
035420  50   49   49   50   NAVER
011200  43   56   47   52   현대상선
168330  41   58   47   52   내츄럴엔도텍
015760  51   48   47   52   한국전력
067160  48   51   48   51   아프리카TV
005930  49   50   48   51   삼성전자
028050  45   54   49   50   삼성엔지니어링
000660  42   57   47   52   SK하이닉스
034220  48   51   48   51   LG디스플레이
000270  42   57   47   52   기아차
046890  42   57   47   52   서울반도체
240810  52   47   49   50   원익IPS
068270  40   59   47   52   셀트리온
025320  47   52   48   51   시노펙스
900310  48   51   48   51   컬러레이
006120  47   52   48   51   SK케미칼
003670  47   52   50   49   포스코켐텍
051910  46   53   48   51   LG화학
043200  49   50   48   51   파루
073240  49   50   48   51   금호타이어
005380  46   53   48   51   현대차
012450  52   47   49   50   한화테크윈
066570  45   54   48   51   LG전자
007390  50   49   48   51   네이처셀
047810  46   53   49   50   한국항공우주
020150  43   56   47   52   일진머티리얼즈
003520  49   50   49   50   영진약품
005490  45   54   47   52   POSCO
013870  50   49   48   51   지엠비코리아
251270  43   56   46   53   넷마블게임즈

###2017-08-22 01:07:42.836367
code   SU%  SD%  LU% LD%  NAME
035420  50   49   49   50   NAVER
011200  43   56   47   52   현대상선
168330  41   58   47   52   내츄럴엔도텍
015760  51   48   47   52   한국전력
067160  48   51   48   51   아프리카TV
005930  49   50   48   51   삼성전자
028050  44   55   49   50   삼성엔지니어링
000660  42   57   47   52   SK하이닉스
034220  48   51   48   51   LG디스플레이
000270  41   58   47   52   기아차
046890  42   57   47   52   서울반도체
240810  52   47   49   50   원익IPS
068270  40   59   47   52   셀트리온
025320  46   53   48   51   시노펙스
900310  48   51   48   51   컬러레이
006120  48   51   48   51   SK케미칼
003670  47   52   50   49   포스코켐텍
051910  45   54   48   51   LG화학
043200  49   50   48   51   파루
073240  49   50   48   51   금호타이어
005380  45   54   48   51   현대차
012450  52   47   49   50   한화테크윈
066570  45   54   48   51   LG전자
007390  51   48   48   51   네이처셀
047810  47   52   49   50   한국항공우주
020150  43   56   48   51   일진머티리얼즈
003520  50   49   50   49   영진약품
005490  44   55   47   52   POSCO
013870  50   49   48   51   지엠비코리아
251270  44   55   46   53   넷마블게임즈

###2017-08-22 06:00:05.089572
code   SU%  SD%  LU% LD%  NAME
000660  42   57   47   52   SK하이닉스
018260  54   45   50   49   삼성SDS
034940  51   48   47   52   조아제약
046890  42   57   47   52   서울반도체
011200  43   56   47   52   현대상선
035420  50   49   49   50   NAVER
168330  41   58   47   52   내츄럴엔도텍
015760  51   48   47   52   한국전력
067160  48   51   48   51   아프리카TV
005930  49   50   48   51   삼성전자
028050  44   55   49   50   삼성엔지니어링
034220  48   51   48   51   LG디스플레이
000270  41   58   47   52   기아차
240810  52   47   49   50   원익IPS
068270  40   59   47   52   셀트리온
025320  46   53   48   51   시노펙스
006120  48   51   48   51   SK케미칼
003670  47   52   50   49   포스코켐텍
051910  45   54   48   51   LG화학
043200  49   50   48   51   파루
073240  49   50   48   51   금호타이어
005380  45   54   48   51   현대차
012450  52   47   49   50   한화테크윈
066570  45   54   48   51   LG전자
007390  51   48   48   51   네이처셀
047810  47   52   49   50   한국항공우주
003520  50   49   50   49   영진약품
005490  44   55   47   52   POSCO

###2017-08-22 23:28:19.694253
code   SU%  SD%  LU% LD%  NAME
000660  42   57   48   51   SK하이닉스
018260  46   53   48   51   삼성SDS
034940  45   54   46   53   조아제약
046890  42   57   48   51   서울반도체
011200  41   58   47   52   현대상선
035420  53   46   49   50   NAVER
168330  44   55   48   51   내츄럴엔도텍
015760  51   48   48   51   한국전력
067160  47   52   48   51   아프리카TV
005930  45   54   48   51   삼성전자
028050  50   49   49   50   삼성엔지니어링
034220  46   53   48   51   LG디스플레이
000270  51   48   48   51   기아차
240810  42   57   47   52   원익IPS
068270  41   58   47   52   셀트리온
025320  50   49   48   51   시노펙스
006120  48   51   49   50   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  40   59   47   52   LG화학
043200  49   50   49   50   파루
073240  51   48   49   50   금호타이어
005380  45   54   48   51   현대차
012450  47   52   49   50   한화테크윈
066570  49   50   49   50   LG전자
007390  51   48   50   49   네이처셀
047810  51   48   50   49   한국항공우주
003520  51   48   49   50   영진약품
005490  46   53   47   52   POSCO

###2017-08-23 00:00:04.749756
code   SU%  SD%  LU% LD%  NAME
000660  42   57   48   51   SK하이닉스
018260  46   53   48   51   삼성SDS
034940  45   54   46   53   조아제약
046890  42   57   48   51   서울반도체
011200  41   58   47   52   현대상선
035420  53   46   49   50   NAVER
168330  44   55   48   51   내츄럴엔도텍
015760  51   48   48   51   한국전력
067160  47   52   48   51   아프리카TV
005930  45   54   48   51   삼성전자
028050  50   49   49   50   삼성엔지니어링
034220  46   53   48   51   LG디스플레이
000270  51   48   48   51   기아차
240810  42   57   47   52   원익IPS
068270  41   58   47   52   셀트리온
025320  50   49   48   51   시노펙스
006120  48   51   49   50   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  40   59   47   52   LG화학
043200  49   50   49   50   파루
073240  51   48   49   50   금호타이어
005380  45   54   48   51   현대차
012450  47   52   49   50   한화테크윈
066570  49   50   49   50   LG전자
007390  51   48   50   49   네이처셀
047810  51   48   50   49   한국항공우주
003520  51   48   49   50   영진약품
005490  46   53   47   52   POSCO

###2017-08-23 06:00:05.327614
code   SU%  SD%  LU% LD%  NAME
000660  42   57   48   51   SK하이닉스
018260  46   53   48   51   삼성SDS
034940  45   54   46   53   조아제약
046890  42   57   48   51   서울반도체
011200  41   58   47   52   현대상선
035420  53   46   49   50   NAVER
168330  44   55   48   51   내츄럴엔도텍
015760  51   48   48   51   한국전력
067160  47   52   48   51   아프리카TV
005930  45   54   48   51   삼성전자
028050  50   49   49   50   삼성엔지니어링
034220  46   53   48   51   LG디스플레이
000270  51   48   48   51   기아차
240810  42   57   47   52   원익IPS
068270  41   58   47   52   셀트리온
025320  50   49   48   51   시노펙스
006120  48   51   49   50   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  40   59   47   52   LG화학
043200  49   50   49   50   파루
073240  51   48   49   50   금호타이어
005380  45   54   48   51   현대차
012450  47   52   49   50   한화테크윈
066570  49   50   49   50   LG전자
007390  51   48   50   49   네이처셀
047810  51   48   50   49   한국항공우주
003520  51   48   49   50   영진약품
005490  46   53   47   52   POSCO

###2017-08-24 00:00:05.257003
code   SU%  SD%  LU% LD%  NAME
000660  45   54   49   50   SK하이닉스
018260  52   47   48   51   삼성SDS
034940  46   53   46   53   조아제약
046890  41   58   49   50   서울반도체
011200  47   52   50   49   현대상선
035420  49   50   48   51   NAVER
168330  52   47   51   48   내츄럴엔도텍
015760  47   52   48   51   한국전력
067160  44   55   46   53   아프리카TV
005930  47   52   47   52   삼성전자
028050  51   48   48   51   삼성엔지니어링
034220  45   54   48   51   LG디스플레이
000270  47   52   49   50   기아차
240810  45   54   48   51   원익IPS
068270  47   52   50   49   셀트리온
025320  48   51   48   51   시노펙스
006120  53   46   51   48   SK케미칼
003670  44   55   47   52   포스코켐텍
051910  43   56   49   50   LG화학
043200  47   52   47   52   파루
073240  44   55   47   52   금호타이어
005380  51   48   50   49   현대차
012450  46   53   47   52   한화테크윈
066570  49   50   49   50   LG전자
007390  53   46   50   49   네이처셀
047810  46   53   48   51   한국항공우주
003520  48   51   48   51   영진약품
005490  49   50   48   51   POSCO

###2017-08-24 06:00:04.795539
code   SU%  SD%  LU% LD%  NAME
000660  45   54   49   50   SK하이닉스
018260  52   47   48   51   삼성SDS
034940  46   53   46   53   조아제약
046890  41   58   49   50   서울반도체
011200  47   52   50   49   현대상선
035420  49   50   48   51   NAVER
168330  52   47   51   48   내츄럴엔도텍
015760  47   52   48   51   한국전력
067160  44   55   46   53   아프리카TV
005930  47   52   47   52   삼성전자
028050  51   48   48   51   삼성엔지니어링
034220  45   54   48   51   LG디스플레이
000270  47   52   49   50   기아차
240810  45   54   48   51   원익IPS
068270  47   52   50   49   셀트리온
025320  48   51   48   51   시노펙스
006120  53   46   51   48   SK케미칼
003670  44   55   47   52   포스코켐텍
051910  43   56   49   50   LG화학
043200  47   52   47   52   파루
073240  44   55   47   52   금호타이어
005380  51   48   50   49   현대차
012450  46   53   47   52   한화테크윈
066570  49   50   49   50   LG전자
007390  53   46   50   49   네이처셀
047810  46   53   48   51   한국항공우주
003520  48   51   48   51   영진약품
005490  49   50   48   51   POSCO

###2017-08-24 22:30:50.959253
code   SU%  SD%  LU% LD%  NAME
000660  45   54   48   51   SK하이닉스
018260  48   51   48   51   삼성SDS
034940  52   47   48   51   조아제약
046890  42   57   49   50   서울반도체
011200  46   53   48   51   현대상선
035420  51   48   49   50   NAVER
168330  57   42   50   49   내츄럴엔도텍
015760  49   50   49   50   한국전력
067160  44   55   47   52   아프리카TV
005930  47   52   48   51   삼성전자
028050  49   50   48   51   삼성엔지니어링
034220  50   49   48   51   LG디스플레이
000270  51   48   49   50   기아차
240810  49   50   49   50   원익IPS
068270  53   46   50   49   셀트리온
025320  47   52   48   51   시노펙스
006120  53   46   50   49   SK케미칼
003670  41   58   47   52   포스코켐텍
051910  43   56   49   50   LG화학
043200  52   47   49   50   파루
073240  46   53   48   51   금호타이어
005380  53   46   49   50   현대차
012450  49   50   49   50   한화테크윈
066570  51   48   49   50   LG전자
007390  46   53   48   51   네이처셀
047810  50   49   49   50   한국항공우주
003520  54   45   50   49   영진약품
005490  49   50   49   50   POSCO

###2017-08-25 00:00:05.339305
code   SU%  SD%  LU% LD%  NAME
000660  45   54   48   51   SK하이닉스
018260  48   51   48   51   삼성SDS
034940  52   47   48   51   조아제약
046890  42   57   49   50   서울반도체
011200  46   53   48   51   현대상선
035420  51   48   49   50   NAVER
168330  57   42   50   49   내츄럴엔도텍
015760  49   50   49   50   한국전력
067160  44   55   47   52   아프리카TV
005930  47   52   48   51   삼성전자
028050  49   50   48   51   삼성엔지니어링
034220  50   49   48   51   LG디스플레이
000270  51   48   49   50   기아차
240810  49   50   49   50   원익IPS
068270  53   46   50   49   셀트리온
025320  47   52   48   51   시노펙스
006120  53   46   50   49   SK케미칼
003670  41   58   47   52   포스코켐텍
051910  43   56   49   50   LG화학
043200  52   47   49   50   파루
073240  46   53   48   51   금호타이어
005380  53   46   49   50   현대차
012450  49   50   49   50   한화테크윈
066570  51   48   49   50   LG전자
007390  46   53   48   51   네이처셀
047810  50   49   49   50   한국항공우주
003520  54   45   50   49   영진약품
005490  49   50   49   50   POSCO

###2017-08-25 06:00:04.722942
code   SU%  SD%  LU% LD%  NAME
000660  45   54   48   51   SK하이닉스
018260  48   51   48   51   삼성SDS
034940  52   47   48   51   조아제약
046890  42   57   49   50   서울반도체
011200  46   53   48   51   현대상선
035420  51   48   49   50   NAVER
168330  57   42   50   49   내츄럴엔도텍
015760  49   50   49   50   한국전력
067160  44   55   47   52   아프리카TV
005930  47   52   48   51   삼성전자
028050  49   50   48   51   삼성엔지니어링
034220  50   49   48   51   LG디스플레이
000270  51   48   49   50   기아차
240810  49   50   49   50   원익IPS
068270  53   46   50   49   셀트리온
025320  47   52   48   51   시노펙스
006120  53   46   50   49   SK케미칼
003670  41   58   47   52   포스코켐텍
051910  43   56   49   50   LG화학
043200  52   47   49   50   파루
073240  46   53   48   51   금호타이어
005380  53   46   49   50   현대차
012450  49   50   49   50   한화테크윈
066570  51   48   49   50   LG전자
007390  46   53   48   51   네이처셀
047810  50   49   49   50   한국항공우주
